kod řeky,tyden,prumer
198400,01.11.1982,0.3200
198400,08.11.1982,0.3171
198400,15.11.1982,0.3871
198400,22.11.1982,0.3771
198400,29.11.1982,0.4129
198400,06.12.1982,0.4700
198400,13.12.1982,0.4471
198400,20.12.1982,0.4243
198400,27.12.1982,0.3557
198400,03.01.1983,0.3929
198400,10.01.1983,0.3186
198400,17.01.1983,0.3557
198400,24.01.1983,0.3229
198400,31.01.1983,0.4543
198400,07.02.1983,0.4371
198400,14.02.1983,0.4271
198400,21.02.1983,0.4500
198400,28.02.1983,0.6914
198400,07.03.1983,0.8514
198400,14.03.1983,0.5414
198400,21.03.1983,0.4371
198400,28.03.1983,0.4600
198400,04.04.1983,0.5043
198400,11.04.1983,0.6471
198400,18.04.1983,0.4786
198400,25.04.1983,0.3329
198400,02.05.1983,0.4271
198400,09.05.1983,0.6671
198400,16.05.1983,0.3286
198400,23.05.1983,0.8143
198400,30.05.1983,0.3971
198400,06.06.1983,0.3229
198400,13.06.1983,0.4786
198400,20.06.1983,0.3243
198400,27.06.1983,0.2686
198400,04.07.1983,0.1871
198400,11.07.1983,0.1843
198400,18.07.1983,0.1886
198400,25.07.1983,0.2214
198400,01.08.1983,1.9071
198400,08.08.1983,0.9343
198400,15.08.1983,0.5071
198400,22.08.1983,0.2657
198400,29.08.1983,0.2400
198400,05.09.1983,0.2157
198400,12.09.1983,0.2486
198400,19.09.1983,0.2671
198400,26.09.1983,0.2200
198400,03.10.1983,0.2614
198400,10.10.1983,0.3029
198400,17.10.1983,0.3071
198400,24.10.1983,0.3200
198400,31.10.1983,0.3629
198400,07.11.1983,0.3200
198400,14.11.1983,0.3500
198400,21.11.1983,0.4857
198400,28.11.1983,0.6000
198400,05.12.1983,0.5100
198400,12.12.1983,0.5171
198400,19.12.1983,0.5071
198400,26.12.1983,0.4986
198400,02.01.1984,0.4343
198400,09.01.1984,0.4957
198400,16.01.1984,0.4743
198400,23.01.1984,0.3357
198400,30.01.1984,0.4014
198400,06.02.1984,0.6214
198400,13.02.1984,0.4314
198400,20.02.1984,0.3371
198400,27.02.1984,0.7629
198400,05.03.1984,0.6914
198400,12.03.1984,0.3057
198400,19.03.1984,0.2571
198400,26.03.1984,0.3543
198400,02.04.1984,0.7529
198400,09.04.1984,0.5414
198400,16.04.1984,0.6814
198400,23.04.1984,0.3771
198400,30.04.1984,0.5029
198400,07.05.1984,0.6071
198400,14.05.1984,0.7743
198400,21.05.1984,0.7843
198400,28.05.1984,0.7157
198400,04.06.1984,0.5143
198400,11.06.1984,0.3571
198400,18.06.1984,0.2871
198400,25.06.1984,0.2843
198400,02.07.1984,0.3329
198400,09.07.1984,0.2800
