kod řeky,rok,prumer
198400,01.11.1982,0.3925
198400,01.01.1983,0.4430
198400,01.01.1984,0.4648
198400,01.01.1985,0.4495
198400,01.01.1986,0.6206
198400,01.01.1987,1.0219
198400,01.01.1988,0.8163
198400,01.01.1989,0.4926
198400,01.01.1990,0.3312
198400,01.01.1991,0.2943
198400,01.01.1992,0.2576
198400,01.01.1993,0.3247
198400,01.01.1994,0.4970
198400,01.01.1995,1.1859
198400,01.01.1996,0.6645
198400,01.01.1997,0.5245
198400,01.01.1998,0.4425
198400,01.01.1999,0.4954
198400,01.01.2000,0.5371
198400,01.01.2001,0.6729
198400,01.01.2002,1.1449
198400,01.01.2003,0.6859
198400,01.01.2004,0.3379
198400,01.01.2005,0.5333
198400,01.01.2006,0.3843
198400,01.01.2007,0.2083
198400,01.01.2008,0.2382
198400,01.01.2009,0.2839
198400,01.01.2010,0.7728
198400,01.01.2011,0.9945
198400,01.01.2012,0.5991
198400,01.01.2013,1.6143
198400,01.01.2014,0.6260
198400,01.01.2015,0.3419
198400,01.01.2016,0.3009
198400,01.01.2017,0.2646
198400,01.01.2018,0.1860
198400,01.01.2019,0.1787
198400,01.01.2020,0.2840
